﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10037449","University of St Mark and St John","2021-07-31","","","246","8.5","9.2"
"10008010","Stranmillis University College","2021-07-31","","","0","4.5","5.5"
"10007805","The University of Strathclyde","2021-07-31","","","376","8.6","8.6"
"10014001","University of Suffolk","2021-07-31","","","196","4.9","5.5"
"10007159","The University of Sunderland","2021-07-31","","","302","8.7","9.2"
"10007160","The University of Surrey","2021-07-31","","","373","7.4","7.8"
"10007806","The University of Sussex","2021-07-31","","","0","0.0","0.0"
"10007855","Swansea University","2021-07-31","","","334","8.6","9.3"
"10020381","Tavistock and Portman NHS Foundation Trust","2021-03-31","","","119","3.7","4.2"
"10083403","The Engineering and Design Institute London","2021-07-31","","","280","4.0","4.3"
"10007161","Teesside University","2021-07-31","","","286","6.9","7.2"
"10082743","ThinkSpace Education Limited","2021-07-31","","","58","0.3","2.7"
"10008017","Trinity Laban Conservatoire of Music and Dance","2021-07-31","","","235","4.7","5.3"
"10007858","University of Wales Trinity Saint David","2021-07-31","","","299","6.5","6.9"
"10067648","University Academy 92 Limited","2021-07-31","","","37","3.4","3.6"
"10068157","University Centre Peterborough","2021-07-31","20190101","","67","3.4","3.4"
"10007114","University of the Highlands and Islands","2021-07-31","","","224","5.7","5.8"
"10007807","Ulster University","2021-07-31","","","300","6.0","6.2"
"10039956","The University of Law","2020-11-30","20161101","","411","6.8","8.9"
"10007784","University College London","2021-07-31","","","344","8.4","9.9"
"10007793","University of South Wales","2021-07-31","","","0","0.0","0.0"
"10008574","The University of Wales (central functions)","2021-07-31","","","0","0.0","0.0"
"10007163","The University of Warwick","2021-07-31","","","368","10.3","10.0"
"10007361","Waverley Abbey College","2020-08-31","","","55","2.2","2.2"
"10007164","University of the West of England, Bristol","2021-07-31","","","307","7.9","10.5"
"10007800","The University of the West of Scotland","2021-07-31","","","0","0.0","0.0"
"10032288","West Dean College","2020-09-30","","","164","6.2","7.5"
"10006566","The University of West London","2021-07-31","","","383","8.3","8.3"
"10007165","The University of Westminster","2021-07-31","","","250","5.5","4.7"
"10003614","The University of Winchester","2021-07-31","","","0","0.0","0.0"
"10007166","The University of Wolverhampton","2021-07-31","","","0","0.0","0.0"
"10007139","University of Worcester","2021-07-31","","","325","11.0","9.6"
"10007657","Writtle University College","2021-07-31","","","145","4.2","4.5"
"10007713","York St John University","2021-07-31","","","232","6.2","6.1"
"10007167","The University of York","2021-07-31","","","257","9.8","9.4"
